run_id,condition,arm,case_id,repo,task_success,code_correctness,convention_adherence,hallucination_check,efficiency,consulted_docs
baseline-run-1,baseline,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,True
baseline-run-1,baseline,v1,cm-002-validate-manifest,cert-manager-operator,5,4,4,3,False,True
baseline-run-1,baseline,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,True
baseline-run-1,baseline,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
baseline-run-1,baseline,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,5,3,False,True
baseline-run-1,baseline,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,4,3,False,True
baseline-run-1,baseline,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
baseline-run-1,baseline,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,True
baseline-run-1,baseline,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,True
baseline-run-1,baseline,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,4,4,False,True
baseline-run-1,baseline,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,3,3,False,True
baseline-run-2,baseline,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,True
baseline-run-2,baseline,v1,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,True
baseline-run-2,baseline,v1,cm-003-optional-informer,cert-manager-operator,3,3,3,3,False,True
baseline-run-2,baseline,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
baseline-run-2,baseline,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,4,3,False,True
baseline-run-2,baseline,v1,mto-001-add-api-field,multiarch-tuning-operator,3,3,3,2,False,True
baseline-run-2,baseline,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
baseline-run-2,baseline,v1,mto-003-add-metric,multiarch-tuning-operator,4,4,4,3,False,True
baseline-run-2,baseline,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,True
baseline-run-2,baseline,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,5,5,False,True
baseline-run-2,baseline,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,True
baseline-run-3,baseline,v1,cm-001-certmanager-cel,cert-manager-operator,5,4,4,4,False,True
baseline-run-3,baseline,v1,cm-002-validate-manifest,cert-manager-operator,4,4,4,4,False,True
baseline-run-3,baseline,v1,cm-003-optional-informer,cert-manager-operator,3,3,3,3,False,True
baseline-run-3,baseline,v1,cm-004-immutable-field,cert-manager-operator,3,3,2,3,False,True
baseline-run-3,baseline,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,5,3,False,True
baseline-run-3,baseline,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,3,3,False,True
baseline-run-3,baseline,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,3,3,False,True
baseline-run-3,baseline,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,True
baseline-run-3,baseline,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,True
baseline-run-3,baseline,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,4,5,False,True
baseline-run-3,baseline,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,True
baseline-run-4,baseline,v1,cm-001-certmanager-cel,cert-manager-operator,5,4,5,5,False,True
baseline-run-4,baseline,v1,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,True
baseline-run-4,baseline,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,True
baseline-run-4,baseline,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
baseline-run-4,baseline,v1,cm-005-hash-triggered-restart,cert-manager-operator,4,4,4,3,False,True
baseline-run-4,baseline,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,3,3,False,True
baseline-run-4,baseline,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
baseline-run-4,baseline,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,True
baseline-run-4,baseline,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,True
baseline-run-4,baseline,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,4,4,False,True
baseline-run-4,baseline,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,3,3,False,True
baseline-run-5,baseline,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,1,False,True
baseline-run-5,baseline,v1,cm-002-validate-manifest,cert-manager-operator,3,3,3,3,False,True
baseline-run-5,baseline,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,True
baseline-run-5,baseline,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
baseline-run-5,baseline,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,4,3,False,True
baseline-run-5,baseline,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,3,2,False,True
baseline-run-5,baseline,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
baseline-run-5,baseline,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,True
baseline-run-5,baseline,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,True
baseline-run-5,baseline,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,5,4,False,True
baseline-run-5,baseline,v1,mto-006-new-execution-mode,multiarch-tuning-operator,3,4,3,3,False,True
treatment-run-1,treatment,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,False
treatment-run-1,treatment,v1,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,False
treatment-run-1,treatment,v1,cm-003-optional-informer,cert-manager-operator,3,3,4,3,False,False
treatment-run-1,treatment,v1,cm-004-immutable-field,cert-manager-operator,3,4,3,3,False,False
treatment-run-1,treatment,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,4,3,False,False
treatment-run-1,treatment,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,3,2,False,False
treatment-run-1,treatment,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,False
treatment-run-1,treatment,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-run-1,treatment,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-run-1,treatment,v1,mto-005-promql-alert,multiarch-tuning-operator,4,4,3,4,False,False
treatment-run-1,treatment,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,3,3,False,False
treatment-run-2,treatment,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,False
treatment-run-2,treatment,v1,cm-002-validate-manifest,cert-manager-operator,3,3,3,3,False,False
treatment-run-2,treatment,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,False
treatment-run-2,treatment,v1,cm-004-immutable-field,cert-manager-operator,3,3,2,3,False,False
treatment-run-2,treatment,v1,cm-005-hash-triggered-restart,cert-manager-operator,4,4,4,3,False,False
treatment-run-2,treatment,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,3,3,False,False
treatment-run-2,treatment,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,3,3,False,False
treatment-run-2,treatment,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-run-2,treatment,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-run-2,treatment,v1,mto-005-promql-alert,multiarch-tuning-operator,3,3,3,3,False,False
treatment-run-2,treatment,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,False
treatment-run-3,treatment,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,False
treatment-run-3,treatment,v1,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,False
treatment-run-3,treatment,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,False
treatment-run-3,treatment,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,False
treatment-run-3,treatment,v1,cm-005-hash-triggered-restart,cert-manager-operator,5,4,4,3,False,False
treatment-run-3,treatment,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,3,3,False,False
treatment-run-3,treatment,v1,mto-002-write-webhook-test,multiarch-tuning-operator,2,3,3,3,False,False
treatment-run-3,treatment,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-run-3,treatment,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-run-3,treatment,v1,mto-005-promql-alert,multiarch-tuning-operator,4,4,4,3,False,False
treatment-run-3,treatment,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,False
treatment-run-4,treatment,v1,cm-001-certmanager-cel,cert-manager-operator,5,5,5,4,False,False
treatment-run-4,treatment,v1,cm-002-validate-manifest,cert-manager-operator,4,4,3,3,False,False
treatment-run-4,treatment,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,False
treatment-run-4,treatment,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,False
treatment-run-4,treatment,v1,cm-005-hash-triggered-restart,cert-manager-operator,4,4,4,3,False,False
treatment-run-4,treatment,v1,mto-001-add-api-field,multiarch-tuning-operator,4,3,3,3,False,False
treatment-run-4,treatment,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,False
treatment-run-4,treatment,v1,mto-003-add-metric,multiarch-tuning-operator,4,4,4,3,False,False
treatment-run-4,treatment,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-run-4,treatment,v1,mto-005-promql-alert,multiarch-tuning-operator,4,4,3,4,False,False
treatment-run-4,treatment,v1,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,False
treatment-run-5,treatment,v1,cm-001-certmanager-cel,cert-manager-operator,4,4,4,1,False,False
treatment-run-5,treatment,v1,cm-002-validate-manifest,cert-manager-operator,5,4,4,3,False,False
treatment-run-5,treatment,v1,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,False
treatment-run-5,treatment,v1,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,False
treatment-run-5,treatment,v1,cm-005-hash-triggered-restart,cert-manager-operator,4,4,5,3,False,False
treatment-run-5,treatment,v1,mto-001-add-api-field,multiarch-tuning-operator,4,4,3,3,False,False
treatment-run-5,treatment,v1,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,False
treatment-run-5,treatment,v1,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-run-5,treatment,v1,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-run-5,treatment,v1,mto-005-promql-alert,multiarch-tuning-operator,5,5,4,4,False,False
treatment-run-5,treatment,v1,mto-006-new-execution-mode,multiarch-tuning-operator,3,3,3,3,False,False
treatment-v2-run-1,treatment-v2,v2,cm-001-certmanager-cel,cert-manager-operator,4,5,5,5,False,True
treatment-v2-run-1,treatment-v2,v2,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,False
treatment-v2-run-1,treatment-v2,v2,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,False
treatment-v2-run-1,treatment-v2,v2,cm-004-immutable-field,cert-manager-operator,2,3,2,3,False,True
treatment-v2-run-1,treatment-v2,v2,cm-005-hash-triggered-restart,cert-manager-operator,5,4,4,3,False,False
treatment-v2-run-1,treatment-v2,v2,mto-001-add-api-field,multiarch-tuning-operator,5,5,5,3,False,True
treatment-v2-run-1,treatment-v2,v2,mto-002-write-webhook-test,multiarch-tuning-operator,2,3,3,3,False,True
treatment-v2-run-1,treatment-v2,v2,mto-003-add-metric,multiarch-tuning-operator,5,4,4,3,False,False
treatment-v2-run-1,treatment-v2,v2,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-v2-run-1,treatment-v2,v2,mto-005-promql-alert,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-1,treatment-v2,v2,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-2,treatment-v2,v2,cm-001-certmanager-cel,cert-manager-operator,5,5,5,5,False,True
treatment-v2-run-2,treatment-v2,v2,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,False
treatment-v2-run-2,treatment-v2,v2,cm-003-optional-informer,cert-manager-operator,4,3,4,3,False,False
treatment-v2-run-2,treatment-v2,v2,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
treatment-v2-run-2,treatment-v2,v2,cm-005-hash-triggered-restart,cert-manager-operator,4,4,4,3,False,False
treatment-v2-run-2,treatment-v2,v2,mto-001-add-api-field,multiarch-tuning-operator,5,4,5,3,False,False
treatment-v2-run-2,treatment-v2,v2,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
treatment-v2-run-2,treatment-v2,v2,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-v2-run-2,treatment-v2,v2,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-v2-run-2,treatment-v2,v2,mto-005-promql-alert,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-2,treatment-v2,v2,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,3,3,False,False
treatment-v2-run-3,treatment-v2,v2,cm-001-certmanager-cel,cert-manager-operator,4,5,5,5,False,True
treatment-v2-run-3,treatment-v2,v2,cm-002-validate-manifest,cert-manager-operator,4,4,4,3,False,False
treatment-v2-run-3,treatment-v2,v2,cm-003-optional-informer,cert-manager-operator,4,3,4,3,False,False
treatment-v2-run-3,treatment-v2,v2,cm-004-immutable-field,cert-manager-operator,3,3,2,3,False,False
treatment-v2-run-3,treatment-v2,v2,cm-005-hash-triggered-restart,cert-manager-operator,4,3,4,2,False,False
treatment-v2-run-3,treatment-v2,v2,mto-001-add-api-field,multiarch-tuning-operator,5,5,5,3,False,False
treatment-v2-run-3,treatment-v2,v2,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,3,3,False,True
treatment-v2-run-3,treatment-v2,v2,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-v2-run-3,treatment-v2,v2,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-v2-run-3,treatment-v2,v2,mto-005-promql-alert,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-3,treatment-v2,v2,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-4,treatment-v2,v2,cm-001-certmanager-cel,cert-manager-operator,4,5,5,5,False,True
treatment-v2-run-4,treatment-v2,v2,cm-002-validate-manifest,cert-manager-operator,3,3,3,3,False,False
treatment-v2-run-4,treatment-v2,v2,cm-003-optional-informer,cert-manager-operator,4,4,4,3,False,False
treatment-v2-run-4,treatment-v2,v2,cm-004-immutable-field,cert-manager-operator,3,3,3,3,False,True
treatment-v2-run-4,treatment-v2,v2,cm-005-hash-triggered-restart,cert-manager-operator,4,3,4,3,False,False
treatment-v2-run-4,treatment-v2,v2,mto-001-add-api-field,multiarch-tuning-operator,5,5,5,3,False,True
treatment-v2-run-4,treatment-v2,v2,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,3,3,False,True
treatment-v2-run-4,treatment-v2,v2,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-v2-run-4,treatment-v2,v2,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,3,False,False
treatment-v2-run-4,treatment-v2,v2,mto-005-promql-alert,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-4,treatment-v2,v2,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-5,treatment-v2,v2,cm-001-certmanager-cel,cert-manager-operator,4,5,4,5,False,True
treatment-v2-run-5,treatment-v2,v2,cm-002-validate-manifest,cert-manager-operator,5,4,4,3,False,False
treatment-v2-run-5,treatment-v2,v2,cm-003-optional-informer,cert-manager-operator,4,3,4,3,False,False
treatment-v2-run-5,treatment-v2,v2,cm-004-immutable-field,cert-manager-operator,3,3,2,3,False,True
treatment-v2-run-5,treatment-v2,v2,cm-005-hash-triggered-restart,cert-manager-operator,4,4,4,3,False,False
treatment-v2-run-5,treatment-v2,v2,mto-001-add-api-field,multiarch-tuning-operator,5,5,5,3,False,True
treatment-v2-run-5,treatment-v2,v2,mto-002-write-webhook-test,multiarch-tuning-operator,3,3,4,3,False,True
treatment-v2-run-5,treatment-v2,v2,mto-003-add-metric,multiarch-tuning-operator,5,5,5,4,False,False
treatment-v2-run-5,treatment-v2,v2,mto-004-webhook-validation,multiarch-tuning-operator,3,3,2,2,False,False
treatment-v2-run-5,treatment-v2,v2,mto-005-promql-alert,multiarch-tuning-operator,4,4,4,3,False,True
treatment-v2-run-5,treatment-v2,v2,mto-006-new-execution-mode,multiarch-tuning-operator,4,4,4,3,False,False
